1000296553	The Lord Mayor Of London's Vindication, Being An Answer To A Pamphlet Intituled, A Brief Collection Out Of The Records Of The City Touching The Election Of Sheriffs For The City Of London And County Of Middlesex, Etc.
1000630623	A Review Of The Political Principles Of The Modern Whigs : In A Second Letter Addressed To The Right Hon. Lord Sheffield /
1000631514	An Act For Dividing, Allotting, And Inclosing Certain Commons And Waste Lands, Within The Manor And Township Of Christleton, In The County Of Chester.
1000632900	A Collection Of State Tracts, Publish'd On Occasion Of The Late Revolution In 1688, And During The Reign Of King William Iii.
1000706485	The Image Of Bothe Churches, Hierusalem And Babel : Unitie And Confusion, Obedienc [sic] And Sedition /
1000707376	An Exact List Of The Poll At The Chusng Of Knights Of The Shire For The County Of Middlesex, Taken At New-brentford, On Monday The 28th Of May, 1705.
1000728364	Some Reflections On The Project For Laying A Duty On English Wrought Silks.
1000775191	A Treatise Of The Pleas Of The Crown : Or, A System Of The Principal Matters Relating To That Subject, Digested Under Proper Heads /
1000800309	The Russian Impostor: Or, The History Of Muskovie, Under The Usurpation Of Boris And The Imposture Of Demetrius, Late Emperors Of Muskovy.
1000830702	Considerations On The State Of Subscriptions To The Articles And Liturgy Of The Church Of England : Towards The Close Of The Year 1773: ... /
1000831549	The Principles Of Agriculture And Vegetation /
1000833051	A Gleam Of Comfort To This Distracted Empire : In Despite Of Faction, Violence, And Cunning, Demonstrating The Fairness And Reasonableness Of National Confidence In The Present Ministry. ...
1000873976	A Code Of Laws For The Island Of Jersey.
1000893578	An Account Of The Voyages Undertaken By The Order Of His Present Majesty For Making Discoveries In The Southern Hemisphere : And Successively Performed By Commodore Byron, Captain Wallis, Captain Carteret, And Captain Cook, In The Dolphin, The Swallow, And The Endeavour /
1000928399	Schenckelius Detectus, Seu, Memoria Artificialis Hactenus Occultata Ac A Multis Quam Diu Desiderata : Nunc Primum In Gratiam Optimarum Artium, Ac Sapientia Studiosorum Luce Donata /
1000992974	Remarks On The Speeches Of William Paul : Clerk, And John Hall Of Otterburn, Esq ; Executed At Tyburn For Rebellion, The 13th Of July, 1716. ...
1001041110	Two Letters Publish'd In Old England : Or, The Constitutional Journal, (viz. Of Sept. The 17th And 24th.).
1001198982	The Monuments And Painted Glass Of Upwards Of One Hundred Churches, Chiefly In The Eastern Part Of Kent ...
1001213029	A Projecte, Conteyninge The State, Order, And Manner Of Governmente Of The University Of Cambridge: As Now It Is To Be Seene In The Three And Fortieth Yeare Of The Raigne Of Our Most Gracious And Soveraigne Lady Queen Elizabeth.
1001242036	The Tragedies Of Euripides Translated : In Two Volumes.
10012951	A Pleasant Comedy Called, The Case Is Altered /
10015129	Apollo Shroving.
1001531215	The Boke Of Marchauntes : Right Necessarye Vnto All Folkes. Newly Made By The Lorde Pantapole, Right Expert In Suche Busynesse, Nere Neyghbour Vnto The Lorde Pantagrule.
1001532601	A Sermon Preach'd Before The Right Honourable Ld Mayor, The Aldermen, Sheriffs, And Governours Of The Several Hospitals Of The City Of London, In St. Bridget's Church. On Easter Tuesday, April. 17, 1707.
1001534834	An Answere To A Popish Rhyme, Lately Scattered Abroad In The West Parts, And Much Relyed Vpon By Some Simply-seduced. By Samuel Hieron, Minister Of The Word Of God, At Modbury In Deuon.
1001538849	The Funeral Of The Mass: Or, The Mass Dead And Buried, Without Hope Of Resurrection. Translated Out Of French.
1001549261	The Antibarbarian: Or, A Treatise Concerning An Unknowne Tongue : As Well In The Prayers Of Particulars In Private As In The Publique Liturgie. Wherein Also Are Exhibited The Principall Clauses Of The Masse, Which Would Offend The People, If They Understood Them. By Peter Du Moulin, Minister Of The Word Of God In The Church Of Sedan And Professor Of Divinitie.
1001601604	A Natural History Of Birds. Illustrated With A Hundred And One Copper Plates, Engraven From The Life. Published By The Author Eleazer Albin, And Carefully Colour'd By His Daughter And Himself, From The Originals, Drawn From The Live Birds.
1001876637	New Travels In The United States Of America : Including The Commerce Of America With Europe : Particularly With France And Great Britain : In Two Volumes.
1002828341	The Bible ... Tr. According To The Ebrew And Greeke, And Conferred With The Best Translations In Divers Languages, With Most Profitable Annotations Vopon All The Hard Places, And Other Things Of Great Importance.
1002867429	The History Of The Valorous And Witty-knight-errant, Don-quixote, Of The Mancha /
1002876834	A True Copy Of The Lord Strange His Warrant For Puting [sic] In Execution The Illegall Commission Of Array In Lancashire. : To All And Every The High Constables In The Hundred Of Amoun[cei?]ves.
1002896436	Boston, April 20th, 1773. Sir The Efforts Made By The Legislative [sic] Of This Province In Their Last Sessions To Free Themselves From Slavery, Gave Us, Who Are In That Deplorable State, A High Degree Of Satisfacton [sic]. ... We Cannot But Wish And Hope.
10030320	The Phoenix.
1003912759	A Review Of The Doctrines Of The Reformation, With An Account Of The Several Deviations To The Present General Departure From Them. In A Series Of Letters To A Young Gentleman Designed For The Ministry. In Which, Among Other Things, It Is Intended To Shew In What Sense The Doctrinal Articles Of The Established Church Were Understood By The Reformers, And Most Eminent Divines Before The Restoration ; To Confirm That Sense By Scripture, And To Prove That They Are Incapable Of An Asian, Socinian, Or Arminian Construction. By Thomas Bowman, M.A. Vicar Of Martham, Norfolk.
1003919211	The History Of The Reformation Of Religion Within The Realm Of Scotland Containing The Manner, And By What Persons, The Light Of Christ's Gospel Has Been Manifested Unto This Realm, After The Horrible And Universal Defection From The Truth Which Has Come By The Means Of Antichrist. Together With The Life Of The Author, And Several Curious Pieces Wrote By Him, Vix. I. His Appellation From The Cruel And Most Unjust Sentence Pronounced Against Him, By The False Bishops And Clergy Of Scotland ; With His Supplication And Exhortation To The Nobility, States And Commonalty Of The Fame Realm. Ii. His Faithful Admonition To The True Professors Of The Gospel Of Christ Within The Kingdom Of England. Iii. His Letter To Queen Mary, Regent Of Scotland. Iv. His Exhortation To England, For The Speedy Embracing Of Christ's Gospel. V. The First Blast Of The Trumpet Against The Monstrous Regiment Of Women. Vi. A Sermon, On Isaiah Xxvi. 13 &c. By Mr. John Knox, Minister Of The Gospel At Edinburgh. To Which Is Added, I. An Admonition To England And Scotland, To Call Them To Repentance, Written By Antoni Gilby, Ii. The First And Second Books Of Discpline ; Together With Some Acts Of The General Assemblies, Clearing And Confirming The Fame ; And An Act Of Parliament, Iii. The Form Of Process In The Judicatories Of The Church Of Scotland, With Relation To Scandals And Censures, Iv. A Large Alphabetical Index To This History, And The Other Pieces.
1003935529	Hogarth Illustrated. By John Ireland.
10042354	The Tragoedy Of Othello, The Moore Of Venice /
10043245	A Merrie And Pleasant Comedy, Never Before Printed, Called A Shoo-maker A Gentleman /
1004427757	Philosophical Transactions. Giving Some Account Of The Present Undertakings, Studies And Labours Of The Ingenious, In Many Considerable Parts Of The World.
1004972257	Three Lectures Upon Animal Life Delivered In The University Of Pennsylvania /
10054388	An Enterlude Called Lusty Juventus : Lyvely Discribing The Frailtye Of Youth, Of Nature Prone To Vice, By Grace And Good Counsayll Trayneable To Vertue.
1005609394	Dr. Henry Begs Leave To Acquaint His Friends And The Public, That He Continues Disposing At His House, No. 18, Orange-street, Liecester-fields, The Back Of The King's-mews, London, His Vegetable Drops And Balsam, Well Known For Curing The Venereal Disease, Rheumatism And Scurvy ...
1005953699	Letter To Thomas Linley :
1005994333	At Edinburgh, The Twenty Fifth Day Of January, 1677 : Forasmuch As A Considerable Number Of Brewers For Themselves ... Have Proposed And Desired That They May Be Allowed To Sell The Ale And Drinking Beer ... : [proclamation Concerning Brewing].
1006001395	Werter. A Tragedy : As Performed At The Theatres-royal, Bath, Bristol, Covent-garden And Dublin.
10060174	The Crown Circuit Companion : Containing The Practice Of The Assizes On The Crown Side : With The Courts Of General And General Quarter Sessions Of The Peace ; Wherin (among Other Things Incident To The Practice Of The Crown Law) Is Included, A Collection Of Useful Modern Precedbnts [sic] Of Indictments In Criminal Cases ; As Well At Common Law, As Those Created By Statute ... With References To The Printed Authorities, Relating Thereto /
1006047386	An Address To The Electors, And Other Free Subjects Of Great Britain : Occasion'd By The Late Secession : In Which Is Contain'd A Particular Account Of All Our Negociations With Spain, And Their Treatment Of Us, For Above Ten Years Past.
1006092304	An Act For Setling The Militia Within The Hamblets Of The Tovver Of London.
1006138312	A Catalogue Of The Genuine Household Furniture, An Assemblage Of Scarce And Fine Old India, Nankin And Enamelled China, Prints And Pictures, Pier Glasses, Cut Glass And Girandoles, India Cabinets And Card Tables, Of Black And Gold Japan ... The Property Of Alexander Emerson, Esq. ....
1006246123	Anno Regni Georgii Regis Magnæ Britanniæ, Franciæ, & Hiberniæ, Primo. At The Parliament Begun And Holden At Westminster, The Seventeenth Day Of March, Anno Dom. 1714. ... Being The First Session Of This Present Parliament.
1006250858	An Essay Towards An Historical Account Of Irish Coins, : And Of The Currency Of Foregin [sic] Monies In Ireland. With An Appendix: Containing Several Statutes, Proclamations, Patents, Acts Of State, And Letters Relating To The Same /
1006483184	The Memoires Of The Life, And Rare Adventures Of Henrietta Silvia Moliere : As They Have Been Very Lately Published In French : With Remarks.
1006650692	An Intire System Of Arithmetic: Or Arithmetic In All Its Parts. Containing I. Vulgar. Ii. Decimal. Iii. Duodecimal. Iv. Sexagesimal. V. Political. Vi. Logarithmical. Vii. Lineal. Viii. Instrumental. Ix. Algebraical. With The Arithmetic Of Negatives, And Approximation Or Converging Series. The Whole Intermix'd With Rules New, Curious, And Useful, Mostly Accounted For The Preface. The Algebraic Part Is Rendered More Plain And Easy Than Hath Been Done, By Instructive Rules And Examples Litterally And Numerically, In A Method New: Solving Equations, Simple, Quadratic, Cubic, &c. Several Ways. And In The Proper Places Of This Work Are An Accurate Table Of Logarithms To 10000, And Rules To Find Those To 100000000, And Natural Numbers To Such Logarithms ; With The Full Use Of The Table In Multiplication, Division, Involution, Evolution, And In The Solution Of All Cases Of Compound Interest, Of Which There Are 24 Large And Exquisite Tables, (and One For The Valuation Of Church Or College-leases Of Their Land) And Also Those Of Simple Interest And Discount ; With A New Method Of Finding The Latter, And The Present Worth Of Money For Days. Also Ample Definitions And Explanations Of Numbers, Quantitys, And Terms Used In All Parts Of Arithmetic, In Alphabetical Order ; Rendring The Whole More Intelligible, And The Easier Learned. With An Appendix, Shewing The Mensuration Of More Superficies And Solids, Than Any Book Wrote Purposely On That Subject Has Exhibited. This Treatise, For Copiousness And Novelty Of Matter And Method, Far Exceeding The Most Perfect Arithmetic Extant. Necessary For All Who Would In A Short Time, And With Little Study, Acquire A Competent Knowledge Of Numbers And Species, Or Would Make Any Considerable Progress In The Mathematicks. Written By Edward Hatton Gent.
1006677477	The Parliamentary Register, Or, History Of The Proceedings And Debates Of The House Of Lords Commons ... : During The 14th-[18th] Parliament[s] Of Great Britain [1774-1803].
1006898049	Atlas Manuale, Or, A New Sett Of Maps Of All The Parts Of The Earth, As Well Asia, Africa, And America, As Europe : Wherein Geography Is Rectify'd, By Reforming The Old Maps According To The Modern Observations, And The Coasts Of All Countries Are Laid Down, Agreeable To Mr. Edmund Halley's Own Map, Which Is Not Done In Any Before Extant, This Being The First Whole Sett Of Maps That Agrees With The Observations And Corrections That Have Been Made By The Astronomers And Travellers Of This Age ... /
1007747117	Phillips' United States Diary, Or, An Almanack, For The Year Of Our Lord 1796 : Being Bissextile Or Leap Year, And Twentieth Of American Independence.
1007889336	Memoirs Of Maximilian De Bethune, Duke Of Sully, Prime Minister Of Henry The Great. Newly Translated From The French Edition Of M. De L'ecluse. To Which Is Annexed, The Trial Of Francis Ravaillac, For The Murder Of Henry The Great. In Five Volumes.
1008117465	The Vegetable System; Or, A Series Of Experiments, And Observations Tending To Explain The Internal Structure, And The Life Of Plants; Their Growth, And Propagation; The Number, Proportion, And Desposition Of Their Constituent Parts; With The True Course Of Their Juices; The Formation Of The Embryo, The Construction Of The Seed, And The Encrease From That State To Perfection.
1008150305	Remarks On The Life And Writings Of Dr. Jonathan Swift, Dean Of St. Patrick's, Dublin, In A Series Of Letters From John Earl Of Orrery, To His Son, The Honourable Hamilton Boyle.
1008155382	Achilles Shield /
1008155706	Sonnets, And Other Poems /
1008228444	Rosamond. An Opera. As It Is Perform'd At The Theatre-royal In Drury-lane. /
1008271536	Ambulator : Or, A Pocket Companion In A Tour Round London, Within The Circuit Of Twenty Five Miles: Describing Whatever Is Most Remarkable For Antiquity, Grandeur, Elegance, Or Rural Beauty: Including New Catalogues Of Pictures ; And Illustrated By Historical And Biographical Observations: To Which Are Prefixed Concise Description Of The Metropolis, And A Map Of The Country Described.
1008328731	[a Volume Containing 131 Copper Plates, Plans And Views Of Towns In Flanders And Holland Most By J.H., Without Text].
1008353508	Memoirs Of The Life Of The Late George Frederic Handel : To Which Is Added, A Catalogue Of His Works, And Observations Upon Them.
1008358909	The Jack-of-all-trades, Or, The Merry Merry Cries Of London: Improv'd : Describing The Various Methods Of Getting Money, In The Metropolis Of This Mighty Empire ; Adorned With A Variety Of Elgant Cuts, Adapted To The Subject.
1008371779	The Lost Lady : A Tragy Comedy.
1008401199	The Absolute Impossibility Of Transubstantiation Demonstrated.
1008414212	A Discourse Delivered To The Students Of The Royal Academy On The Distribution Of The Prizes, December 11, 1786 /
1008471615	A New Treatise On Flower Painting : Containing The Most Familiar And Easy Instructions ; With Directions How To Mix The Various Tints, And Obtain A Complete Knowledge By Practice Alone.
1008502872	The Art Of Painting In Miniature ... Translated From The Original French. To Which Are Now Added I. Certain Secrets Of One Of The Greatest Italian Painters For Making The Finest Colours ... Ii. Some ... Lessons For The Art Of Drawing ... Iii. The Usefulness And Benefit Of Prints.
1008776563	Robert H. Harrison Letter To Ho. Gre.
10106957	All In The Wrong : A Comedy /
1011281362	Phyladelphian Principles: Or, A Discourse Proving From The Writings Of Many Learned Men, That The Way To Promote Unity In The Church, Is Not By A General Uniformity ... But In The Excercise Of Mutual Charity ... Written By A Peaceable Moderator. [the Preface Signed: R.C.].
1011350365	The Circular Letter. The Elders And Messengers Of The Baptist Churches, Meeting At Aulcester ... [and Elsewhere] ... Met In Association At Leominster, July 28th And 29th, 1772 ... To The Churches They Represent, Send Christian Salutation. [by Joshua Thomas.].
10116802	A Plot For Preferment : A Sermon Preached At The Court /
1011757948	Ane Breif Gathering Of The Halie Signes, Sacrifices And Sacramentis Institutit Of God Sen The Creation Of The Warlde. And Of The Trew Originall Of The Sacrifice Of The Messe. Translatit Out Of Frenche Into Scottis Be Ane Faithful Brother.
1011771753	The Circular Letter From The Baptist Ministers And Messengers, Assembled At Leicester, May 19 & 20, 1772. ...
1011793632	He Would Be A Soldier.
1011795414	The First Epistle Of The First Book Of Horace Imitated /
1011814917	Anno Regni Caroli Regis, Angli, Scoti, Franci, Et Hiberni, Decimo Et Undecimo : At The Parliament Begun And Holden At Dublin, The Foureteenth Day Of Iuly, In The Tenth Yeere Of The Raigne Of Our Most Gracious Soveraigne Lord, Charles By The Grace Of God, Of England, Scotland, France, And Ireland King, Defender Of The Faith, &c. And There Continued Untill The 18. Day Of Aprill. 1635. To The High Pleasure Of Almighty God, And To The Weale Publique Of This Realme, Were Enacted As Followeth.
1011827067	Some Occasional Thoughts Concerning The Original, Principles And Practice Of The Thing Call'd A High-flyer. In A Letter From A Gentleman In London, To His Friend At Bath.
1011844040	The Duke Of Guise : A Tragedy : Acted By Their Majesties Servants /
1011844815	Agrippa King Of Alba; Or, The False Tiberius. As It Was Several Times Acted With Great Applause Before His Grace The Duke Of Ormond ... At The Theatre Royal In Dublin.
1011852339	The First Epistle Of The First Book Of Horace Imitated /
1011856849	A Poeticall Sea-peice : Containing In A Spacious Table The Lively Description Of A Tempest At Sea And Shipwwrecks /
1011871545	The Lord George Digbies Apologie For Himselfe : Published The Fourth Of January, Anno Dom. 1642.
1011872887	A Helpe Vnto Deuotion Containing Certain Moulds Or Forms Of Prayer, Fitted To Seuerall Occasions; & Penned For The Furtherance Of Those, Who Haue More Desire Then Skil, To Poure Out Their Soules By Petitions Vnto God. By Sam. Hieron.
1011873822	The Patrimony Of Christian Children: Or, A Defence Of Infants Babtisme Prooued To Be Consonant To The Scriptures And Will Of God (against The Erroneons [sic] Positions Of The Anabaptists.[)] By Robert Cleaver, With The Ioynt Consent Of Mr. Iohn Dod.
1011876171	A List Of Books, Published By The Rev. Dr. Trusler, At The Literary-press, No. 62, Wardour-street, Soho. 1790.
1011877837	Eudosia : Or, A Poem On The Universe.
1011884019	The Court And City Register. For The Year 1759. Corrected To The 18th Of Nov. 1758. : Containing, I. An Almanack. Ii. New And Correct Lists Of Both Houses Of Parliament. Iii. The Court Register. Iv. Lists Of The Army And Navy.
1011885081	Memoirs Of The Royal Society : Or, A New Abridgement Of The Philosophical Transactions. ... From ... 1665, To 1740. ... By Mr. Baddam. ...
1011903198	Paradise Lost : A Poem In Twelve Books /
1011904089	Ireland. By The Commissioners Of The Common-wealth Of England For The Affairs Of Ireland. Whereas The Said Commissioners Are Informed, That Many Officers And Souldiers Who Have Faithfully Served The Common-wealth In Ireland Are Seduced (by The Insinuations Of Covetous Minded Persons Who (for Luckre Sake) Lye In Wait To Purchase The Poor Souldiers Dearly Earned Wages) To Make Sale Of Their Debenturs ...
1011905970	The Pilgrim's Progress, From This World, To That Which Is To Come : The Third Part : Delivered Under The Similitude Of A Dream, Shewing The Several Difficulties And Dangers He Met With, And The Many Victories He Obtained Over The World, The Flesh, And The Devil : Together With His Happy Arrival At The Celestial City, And The Glory And Joy He Found To His Eternal Comfort : To Which Is Added, The Life And Death Of John Bunyan, Author Of The First And Second Part.
1011921837	The Perpetual Acts Of The General Assemblies Of His Majesty's Province Of Nova Scotia.
1011932529	A Short Account Of The Society For Equitable Assurances On Lives And Survivorships : Established By Deed Inrolled In His Majesty's Court Of King's Bench At Westminster.
1011943716	The Possibility Of God's Forsaking A People That Have Been Visibly Near & Dear To Him : Together With The Misery Of A People Thus Forsaken : Set Forth In A Sermon Preached At Weathersfield, Nov. 21, 1678 : Being A Day Of Fast And Humiliation /
1011945174	The Lamenting Ladies Last Farewel To The World. Who Being In A Strange Exile Bewails Her Own Misery, Complains Upon Fortune And Destiny; Describeth The Manner Of Her Breeding, Deplores The Loss Of Her Parents, Wishing Peace And Happinesse To England, Which Was Her Native C[o]untrey, And Withal Resolved For Death, Chearfully Commending Her Soul To Heaven, And Her Body To The Earth, And Quietly Departed This Life. To An Excellent Tune, Called O Hone, O Hone.
1011946065	A Declaration To All The World Of Our Faith : And What We Believe Who Are Called Quakers. And This Is Written, That All People Upon Earth May Know By Whom And How We Are Saved, And Hopes For Eternal Life; And What We Believe Concerning God, Christ And The Spirit, And Of The Things That Are Eternal, Appertaining To All Man-kind To Know And Believe. Also What Ministers And Magistrates We Own, And What And Whom We Deny.
1011979087	Marriage A-la-mode : A Comedy, As It Is Acted At The Theatre-royal /
1011983091	An Essay On Epic Poetry: In Five Epistles To The Revd Mr Mason. With Notes.
1011990994	To The Right Honorable, The Commons Of England In Parliament Assembled. The Humble Petition Of Divers Wel Affected Persons Inhabiting The City Of London, Westminster, The Borough Of Southwark, Hamblets, And Places Adjacent. : Whereunto Is Anexed, The Humble Desires Of The Said Petitioners For The Houses Resolution Thereon, Before They Proceed With The Personall Treaty.
1011994107	The Whole Booke Of Psalmes /
1012001378	A New Voyage To The Island Of Fools : Representing The Policy, Government, And Present State Of The Stultitians /
1012001422	The Christian's Defence Against The Fears Of Death : With Directions How To Die Well /
1012014842	The Mysterious Husband : A Tragedy In Five Acts. As It Is Acted At The Theatre-royal, Covent-garden /
1012021475	An[n]o Reg. Iacobi, Regis Angl. Scoti, Franc. & Hybern. Viz. Angl. Franc. & Hybern. Primo, Scoti Xxxvij : At The Parliament Begun And Holden At Westminster The Xix. Day Of March, In The First Yeere Of The Raigne Of Our Most Gracious Soueraigne Lord Iames, By The Grace Of God Of England, France, And Ireland King, Defender Of The Faith, &c. And Of Scotland The 37, And There Continued Vntil The Seuenth Day Of Iuly 1604, And Then Proroged Vntil The 7. Of Febr. Next Following, To The High Pleasure Of Almightie God, And To The Weale Publique Of This Realme Were Enacted As Followeth.
1012022410	A Critical And Philosophical Enquiry Into The Causes Of Prodigies And Miracles, As Related By Historians : With An Essay Towards Restoring A Method And Purity In History ; In Which, The Characters Of The Most Celebrated Writers Of Every Age, And Of The Several Stages And Species Of History, Are Occasionally Criticized And Explained ; In Two Parts.
